id,operator,nomor,warna,asal,tujuan,pulang_pergi,waypoints_joined,raw_route
R001,Angkot Umum,01,Kuning,Simp. Permina,Lubuk Pakam,False,Simp. Permina | Tanjung Morawa | Simp. Kayu Besar | Lubuk Pakam,Simp. Permina - Tanjung Morawa - Simp. Kayu Besar - Lubuk Pakam
R002,Angkot Umum,02,Kuning,Jl. Karya,Perumnas Mandala,False,Jl. Karya | Bundaran Sekip | Petisah | Plaza Medan Fair | Jl. Iskandar Muda | Simp. Brimob | Simp. Kampus | Padang Bulan | Simp. Pos | Titi Kuning | Simp. Limun | Jl. Sisingamangaraja | Jl. Halat | Jl. AR Hakim | Jl. Denai | Perumnas Mandala,Jl. Karya - Bundaran Sekip - Petisah - Plaza Medan Fair - Jl. Iskandar Muda - Simp. Brimob - Simp. Kampus - Padang Bulan - Simp. Pos - Titi Kuning - Simp. Limun - Jl. Sisingamangaraja - Jl. Halat - Jl. AR Hakim - Jl. Denai - Perumnas Mandala
R003,Angkot Umum,03,Kuning,POLDASU,Sambu,False,POLDASU | Amplas | Jl. Sisingamangaraja | Garuda Plaza Hotel | Sambu,POLDASU - Amplas - Jl. Sisingamangaraja - Garuda Plaza Hotel - Sambu
R004,KPUM,A03,Kuning,UNIMED,Pasar V Desa Martoba / Batas Kota,False,UNIMED | Jl. Pancing | Aksara | Pasar V Desa Martoba / Batas Kota,UNIMED - Jl. Pancing - Aksara - Pasar V Desa Martoba / Batas Kota
R005,Angkot Umum,N03,Kuning,Tuntungan,Lubuk Pakam,False,Tuntungan | Lau Bakeri | Tanjung Anom | Pajak Melati | Simp. Pemda | Simp. Pos | Titi Kuning | Amplas | Tanjung Morawa | Lubuk Pakam,Tuntungan - Lau Bakeri - Tanjung Anom - Pajak Melati - Simp. Pemda - Simp. Pos - Titi Kuning - Amplas - Tanjung Morawa - Lubuk Pakam
R006,POVRI,04,-,Perum Indah / Eka Rasmi,Ikip Baru / Batas Kota,True,Perum Indah / Eka Rasmi | Ikip Baru / Batas Kota,Perum Indah / Eka Rasmi - Ikip Baru / Batas Kota (PP)
R007,KPUM,05,Kuning,Jalan SM. Raja,Mariendal,True,Jalan SM. Raja | Mariendal,Jalan SM. Raja - Mariendal (PP)
R008,POVRI,05,-,Deli Tua / Batas Kota,Veteran / Pajak Pasar,True,Deli Tua / Batas Kota | Veteran / Pajak Pasar,Deli Tua / Batas Kota - Veteran / Pajak Pasar (PP)
R009,Angkot Umum,06,Kuning,Pinang Baris,Amplas,False,Pinang Baris | Pajak Melati | Simp. Pemda | Tanjung Sari | TASBI Pintu 1 | Jl. Dr. Mansyur | USU | Simp. Kampus | Simp. Brimob | Jl. S. Parman | Jl. Monginsidi | Jl. Ir. H. Juanda | Jl. Sisingamangaraja | Amplas,Pinang Baris - Pajak Melati - Simp. Pemda - Tanjung Sari - TASBI Pintu 1 - Jl. Dr. Mansyur - USU - Simp. Kampus - Simp. Brimob - Jl. S. Parman - Jl. Monginsidi - Jl. Ir. H. Juanda - Jl. Sisingamangaraja - Amplas
R010,KPUM,07,Kuning,T. Amplas,Tembung,True,T. Amplas | Teladan | Letda Sujono / Batas Kota | Jl. Sisingamangaraja | Aksara | Jl. Pancing | Tembung,T. Amplas - Teladan - Letda Sujono / Batas Kota - Jl. Sisingamangaraja - Aksara - Jl. Pancing - Tembung (PP)
